transaction_id,lead_id,customer_id,vehicle_id,transaction_date,final_price_inr,loan_amount,loan_tenure_months,interest_rate,emi_amount,payment_mode,created_at,tx_month,tx_year,tx_quarter,is_loan,full_name,city,state,country,currency_code_customer,annual_income_local,annual_income_usd,monthly_income_local,monthly_income_usd,credit_score,employment_type,income_segment,credit_band,make,model,segment,fuel_type,price_local,currency_code_vehicle,price_usd_equivalent,price_segment,emi_amount_usd,affordability_ratio,is_affordable
12,30,78,24,2025-05-18,59084112.0,44903925.0,84,9.64,737132.38,Loan,2026-07-10 09:27:06,5,2025,2,1,Pooja Kumar,Mumbai,Maharashtra,India,INR,2158480.0,23095.74,179873.33,1924.65,698,Salaried,$10–30K,Good (650–750),Ferrari,SF90,Hypercar,Hybrid,580000.0,EUR,632200.0,Ultra ($150K+),7887.32,4.0981,0
13,34,148,25,2025-06-29,24957944.0,,,,,Full Cash,2026-07-10 09:27:06,6,2025,2,0,Meena Iyer,Chennai,Tamil Nadu,India,INR,1348555.0,14429.54,112379.58,1202.46,727,Salaried,$10–30K,Good (650–750),Porsche,911 GT3,Hypercar,Petrol,245000.0,EUR,267050.0,Ultra ($150K+),,,0
14,35,79,22,2026-04-08,299065421.0,,,,,Full Cash,2026-07-10 09:27:06,4,2026,2,0,Swathi Mishra,Lucknow,Uttar Pradesh,India,INR,876274.0,9376.13,73022.83,781.34,672,Salaried,<$10K,Good (650–750),Bugatti,Chiron,Hypercar,Petrol,3200000.0,USD,3200000.0,Ultra ($150K+),,,0
15,41,125,18,2025-05-17,6074766.0,4434579.0,24,13.66,212205.33,Loan,2026-07-10 09:27:06,5,2025,2,1,Anitha Singh,Jaipur,Rajasthan,India,INR,6076817.0,65021.94,506401.42,5418.5,850,Business,$60–120K,Excellent (750–900),BMW,5 Series,Luxury,Petrol,65000.0,USD,65000.0,Premium ($60–150K),2270.6,0.419,0
16,50,96,22,2026-03-08,299065421.0,,,,,Full Cash,2026-07-10 09:27:06,3,2026,1,0,Lakshmi Mishra,Hyderabad,Telangana,India,INR,4128400.0,44173.88,344033.33,3681.16,624,Self-Employed,$30–60K,Fair (550–650),Bugatti,Chiron,Hypercar,Petrol,3200000.0,USD,3200000.0,Ultra ($150K+),,,0
17,53,65,21,2026-06-01,6136449.0,5461439.0,36,9.72,175508.2,Loan,2026-07-10 09:27:06,6,2026,2,1,Rajesh Kumar,Kolkata,West Bengal,India,INR,2246582.0,24038.43,187215.17,2003.2,742,Salaried,$10–30K,Good (650–750),Lexus,RX 500h,Luxury,Hybrid,9800000.0,JPY,65660.0,Premium ($60–150K),1877.94,0.9375,0
18,56,75,9,2024-12-16,1900000.0,,,,,Full Cash,2026-07-10 09:27:06,12,2024,4,0,Rekha Gupta,Hyderabad,Telangana,India,INR,1119009.0,11973.4,93250.75,997.78,676,Salaried,$10–30K,Good (650–750),Hyundai,Creta,SUV,Diesel,1900000.0,INR,20330.0,Mid ($15–30K),,,0
19,57,155,25,2026-05-04,24957944.0,21713411.0,36,10.93,710149.65,Loan,2026-07-10 09:27:06,5,2026,2,1,Michael Brown,Miami,Florida,USA,USD,145000.0,145000.0,12083.33,12083.33,738,Business,$120–300K,Good (650–750),Porsche,911 GT3,Hypercar,Petrol,245000.0,EUR,267050.0,Ultra ($150K+),7598.6,0.6288,0
20,58,58,11,2025-08-22,1800000.0,1548000.0,24,13.88,74236.22,Loan,2026-07-10 09:27:06,8,2025,3,1,Vikram Joshi,Jaipur,Rajasthan,India,INR,6287050.0,67271.44,523920.83,5605.95,765,Business,$60–120K,Excellent (750–900),Kia,Seltos,SUV,Petrol,1800000.0,INR,19260.0,Mid ($15–30K),794.33,0.1417,1
21,62,129,15,2026-01-05,1950000.0,1657500.0,72,7.7,28819.15,Loan,2026-07-10 09:27:06,1,2026,1,1,Meena Chauhan,Kolkata,West Bengal,India,INR,1733734.0,18550.95,144477.83,1545.91,707,Self-Employed,$10–30K,Good (650–750),Kia,Carens,MUV,Diesel,1950000.0,INR,20865.0,Mid ($15–30K),308.36,0.1995,1
22,67,150,12,2024-06-14,1950000.0,,,,,Full Cash,2026-07-10 09:27:06,6,2024,2,0,Swathi Joshi,Chennai,Tamil Nadu,India,INR,3433527.0,36738.74,286127.25,3061.56,706,Self-Employed,$30–60K,Good (650–750),Tata,Nexon EV,EV,Electric,1950000.0,INR,20865.0,Mid ($15–30K),,,0
23,73,12,16,2025-02-07,5500000.0,4400000.0,72,13.28,88977.63,Loan,2026-07-10 09:27:06,2,2025,1,1,Nisha Gupta,Hyderabad,Telangana,India,INR,3777008.0,40413.99,314750.67,3367.83,719,Business,$30–60K,Good (650–750),BMW,3 Series,Luxury,Diesel,5500000.0,INR,58850.0,Upper-Mid ($30–60K),952.06,0.2827,1
24,76,38,3,2024-06-21,1050000.0,766500.0,48,10.5,19624.99,Loan,2026-07-10 09:27:06,6,2024,2,1,Rahul Patel,Pune,Maharashtra,India,INR,2205584.0,23599.75,183798.67,1966.65,798,Salaried,$10–30K,Excellent (750–900),Hyundai,i20,Hatchback,Petrol,1050000.0,INR,11235.0,Economy ($5–15K),209.99,0.1068,1
25,81,26,25,2024-08-06,24957944.0,,,,,Lease,2026-07-10 09:27:06,8,2024,3,0,Rajesh Gupta,Pune,Maharashtra,India,INR,897656.0,9604.92,74804.67,800.41,552,Self-Employed,<$10K,Fair (550–650),Porsche,911 GT3,Hypercar,Petrol,245000.0,EUR,267050.0,Ultra ($150K+),,,0
26,82,123,1,2025-04-22,350000.0,252000.0,84,8.69,4014.91,Loan,2026-07-10 09:27:06,4,2025,2,1,Ravi Kumar,Jaipur,Rajasthan,India,INR,3047084.0,32603.8,253923.67,2716.98,819,Self-Employed,$30–60K,Excellent (750–900),Maruti Suzuki,Alto K10,Hatchback,Petrol,350000.0,INR,3745.0,Budget (<$5K),42.96,0.0158,1
27,87,145,8,2025-05-12,1650000.0,,,,,Lease,2026-07-10 09:27:06,5,2025,2,0,Ravi Joshi,Jaipur,Rajasthan,India,INR,1653877.0,17696.48,137823.08,1474.71,843,Business,$10–30K,Excellent (750–900),Tata,Nexon,SUV,Petrol,1650000.0,INR,17655.0,Mid ($15–30K),,,0
28,88,32,23,2026-06-02,57943925.0,,,,,Lease,2026-07-10 09:27:06,6,2026,2,0,Ravi Kumar,Delhi,Delhi,India,INR,2068083.0,22128.49,172340.25,1844.04,563,Salaried,$10–30K,Fair (550–650),Lamborghini,Revuelto,Hypercar,Hybrid,620000.0,USD,620000.0,Ultra ($150K+),,,0
29,89,24,14,2024-02-28,1150000.0,897000.0,48,10.22,22845.13,Loan,2026-07-10 09:27:06,2,2024,1,1,Ravi Iyer,Kolkata,West Bengal,India,INR,2179557.0,23321.26,181629.75,1943.44,719,Salaried,$10–30K,Good (650–750),Maruti Suzuki,Ertiga,MUV,CNG,1150000.0,INR,12305.0,Economy ($5–15K),244.44,0.1258,1
30,91,24,4,2024-05-06,750000.0,,,,,Lease,2026-07-10 09:27:06,5,2024,2,0,Ravi Iyer,Kolkata,West Bengal,India,INR,2179557.0,23321.26,181629.75,1943.44,719,Salaried,$10–30K,Good (650–750),Tata,Tiago,Hatchback,CNG,750000.0,INR,8025.0,Economy ($5–15K),,,0
31,95,10,13,2024-01-27,2299000.0,,,,,Full Cash,2026-07-10 09:27:06,1,2024,1,0,Deepa Sharma,Kolkata,West Bengal,India,INR,1180879.0,12635.41,98406.58,1052.95,584,Self-Employed,$10–30K,Fair (550–650),MG,ZS EV,EV,Electric,2299000.0,INR,24599.3,Mid ($15–30K),,,0
32,101,38,26,2025-10-26,45457944.0,39548411.0,36,10.91,1293079.31,Loan,2026-07-10 09:27:06,10,2025,4,1,Rahul Patel,Pune,Maharashtra,India,INR,2205584.0,23599.75,183798.67,1966.65,798,Salaried,$10–30K,Excellent (750–900),McLaren,750S,Hypercar,Petrol,380000.0,GBP,486400.0,Ultra ($150K+),13835.95,7.0353,0
33,102,146,2,2025-03-20,850000.0,765000.0,60,9.74,16156.3,Loan,2026-07-10 09:27:06,3,2025,1,1,Amit Gupta,Chennai,Tamil Nadu,India,INR,2394644.0,25622.69,199553.67,2135.22,738,Salaried,$10–30K,Good (650–750),Maruti Suzuki,Swift,Hatchback,Petrol,850000.0,INR,9095.0,Economy ($5–15K),172.87,0.081,1
34,104,144,3,2025-05-14,1050000.0,892500.0,60,9.32,18665.75,Loan,2026-07-10 09:27:06,5,2025,2,1,Anitha Gupta,Lucknow,Uttar Pradesh,India,INR,364237.0,3897.34,30353.08,324.78,599,Retired,<$10K,Fair (550–650),Hyundai,i20,Hatchback,Petrol,1050000.0,INR,11235.0,Economy ($5–15K),199.72,0.6149,0
35,108,112,10,2025-06-24,2350000.0,1762500.0,72,10.71,33286.36,Loan,2026-07-10 09:27:06,6,2025,2,1,Lakshmi Nair,Ahmedabad,Gujarat,India,INR,4910381.0,52541.08,409198.42,4378.42,614,Self-Employed,$30–60K,Fair (550–650),Mahindra,Scorpio-N,SUV,Diesel,2350000.0,INR,25145.0,Mid ($15–30K),356.16,0.0813,1
36,109,10,6,2024-06-09,1450000.0,,,,,Lease,2026-07-10 09:27:06,6,2024,2,0,Deepa Sharma,Kolkata,West Bengal,India,INR,1180879.0,12635.41,98406.58,1052.95,584,Self-Employed,$10–30K,Fair (550–650),Hyundai,Verna,Sedan,Diesel,1450000.0,INR,15515.0,Mid ($15–30K),,,0
37,110,166,16,2025-11-05,5500000.0,,,,,Full Cash,2026-07-10 09:27:06,11,2025,4,0,Yuki Yamamoto,Osaka,Osaka,Japan,JPY,6200000.0,41540.0,516666.67,3461.67,660,Salaried,$30–60K,Good (650–750),BMW,3 Series,Luxury,Diesel,5500000.0,INR,58850.0,Upper-Mid ($30–60K),,,0
38,111,123,15,2026-01-04,1950000.0,1501500.0,48,12.35,39798.77,Loan,2026-07-10 09:27:06,1,2026,1,1,Ravi Kumar,Jaipur,Rajasthan,India,INR,3047084.0,32603.8,253923.67,2716.98,819,Self-Employed,$30–60K,Excellent (750–900),Kia,Carens,MUV,Diesel,1950000.0,INR,20865.0,Mid ($15–30K),425.85,0.1567,1
39,114,126,12,2024-06-01,1950000.0,1696500.0,48,7.5,41019.51,Loan,2026-07-10 09:27:06,6,2024,2,1,Sanjay Shah,Hyderabad,Telangana,India,INR,2323529.0,24861.76,193627.42,2071.81,668,Salaried,$10–30K,Good (650–750),Tata,Nexon EV,EV,Electric,1950000.0,INR,20865.0,Mid ($15–30K),438.91,0.2118,1
40,117,62,22,2025-08-21,299065421.0,,,,,Lease,2026-07-10 09:27:06,8,2025,3,0,Rekha Kumar,Mumbai,Maharashtra,India,INR,1934734.0,20701.65,161227.83,1725.14,855,Salaried,$10–30K,Excellent (750–900),Bugatti,Chiron,Hypercar,Petrol,3200000.0,USD,3200000.0,Ultra ($150K+),,,0
41,119,140,5,2025-03-09,1550000.0,,,,,Lease,2026-07-10 09:27:06,3,2025,1,0,Kiran Shah,Mumbai,Maharashtra,India,INR,1162019.0,12433.6,96834.92,1036.13,821,Salaried,$10–30K,Excellent (750–900),Honda,City,Sedan,Petrol,1550000.0,INR,16585.0,Mid ($15–30K),,,0
42,120,105,24,2025-08-21,59084112.0,46085607.0,72,10.56,866846.25,Loan,2026-07-10 09:27:06,8,2025,3,1,Anitha Pillai,Chennai,Tamil Nadu,India,INR,577671.0,6181.08,48139.25,515.09,626,Salaried,<$10K,Fair (550–650),Ferrari,SF90,Hypercar,Hybrid,580000.0,EUR,632200.0,Ultra ($150K+),9275.25,18.007,0
43,123,136,23,2024-02-17,57943925.0,,,,,Full Cash,2026-07-10 09:27:06,2,2024,1,0,Kavya Sharma,Mumbai,Maharashtra,India,INR,412163.0,4410.14,34346.92,367.51,878,Retired,<$10K,Excellent (750–900),Lamborghini,Revuelto,Hypercar,Hybrid,620000.0,USD,620000.0,Ultra ($150K+),,,0
44,126,157,15,2024-12-03,1950000.0,1423500.0,36,7.93,44561.36,Loan,2026-07-10 09:27:06,12,2024,4,1,Charlotte Davies,Manchester,England,UK,GBP,58000.0,74240.0,4833.33,6186.67,632,Business,$60–120K,Fair (550–650),Kia,Carens,MUV,Diesel,1950000.0,INR,20865.0,Mid ($15–30K),476.81,0.0771,1
45,127,157,23,2025-06-08,57943925.0,42878505.0,72,9.73,788534.48,Loan,2026-07-10 09:27:06,6,2025,2,1,Charlotte Davies,Manchester,England,UK,GBP,58000.0,74240.0,4833.33,6186.67,632,Business,$60–120K,Fair (550–650),Lamborghini,Revuelto,Hypercar,Hybrid,620000.0,USD,620000.0,Ultra ($150K+),8437.32,1.3638,0
46,128,133,19,2026-02-23,8317757.0,6903738.0,48,13.46,186790.08,Loan,2026-07-10 09:27:06,2,2026,1,1,Suresh Patel,Mumbai,Maharashtra,India,INR,487009.0,5211.0,40584.08,434.25,591,Salaried,<$10K,Fair (550–650),Audi,Q7,Luxury,Petrol,89000.0,USD,89000.0,Premium ($60–150K),1998.65,4.6025,0
47,135,130,17,2024-08-28,6100000.0,5246000.0,72,7.61,90983.62,Loan,2026-07-10 09:27:06,8,2024,3,1,Manoj Mishra,Lucknow,Uttar Pradesh,India,INR,713670.0,7636.27,59472.5,636.36,702,Salaried,<$10K,Good (650–750),Mercedes-Benz,C-Class,Luxury,Diesel,6100000.0,INR,65270.0,Premium ($60–150K),973.52,1.5298,0
48,136,110,6,2026-04-11,1450000.0,1261500.0,72,13.04,25350.12,Loan,2026-07-10 09:27:06,4,2026,2,1,Arjun Kumar,Ahmedabad,Gujarat,India,INR,2487922.0,26620.77,207326.83,2218.4,626,Self-Employed,$10–30K,Fair (550–650),Hyundai,Verna,Sedan,Diesel,1450000.0,INR,15515.0,Mid ($15–30K),271.25,0.1223,1
49,142,56,9,2025-10-08,1900000.0,1387000.0,48,9.24,34673.83,Loan,2026-07-10 09:27:06,10,2025,4,1,Vikram Sharma,Hyderabad,Telangana,India,INR,3934843.0,42102.82,327903.58,3508.57,848,Business,$30–60K,Excellent (750–900),Hyundai,Creta,SUV,Diesel,1900000.0,INR,20330.0,Mid ($15–30K),371.01,0.1057,1
50,144,98,5,2026-05-09,1550000.0,1379500.0,60,8.07,28017.52,Loan,2026-07-10 09:27:06,5,2026,2,1,Lakshmi Nair,Chennai,Tamil Nadu,India,INR,3280313.0,35099.35,273359.42,2924.95,815,Self-Employed,$30–60K,Excellent (750–900),Honda,City,Sedan,Petrol,1550000.0,INR,16585.0,Mid ($15–30K),299.79,0.1025,1
51,146,83,6,2024-02-17,1450000.0,1145500.0,24,11.06,53421.19,Loan,2026-07-10 09:27:06,2,2024,1,1,Priya Reddy,Chennai,Tamil Nadu,India,INR,687262.0,7353.7,57271.83,612.81,660,Self-Employed,<$10K,Good (650–750),Hyundai,Verna,Sedan,Diesel,1450000.0,INR,15515.0,Mid ($15–30K),571.61,0.9328,0
52,147,153,13,2025-07-22,2299000.0,1724250.0,60,13.78,39923.89,Loan,2026-07-10 09:27:06,7,2025,3,1,Robert Williams,Houston,Texas,USA,USD,85000.0,85000.0,7083.33,7083.33,767,Salaried,$60–120K,Excellent (750–900),MG,ZS EV,EV,Electric,2299000.0,INR,24599.3,Mid ($15–30K),427.19,0.0603,1
53,154,69,3,2025-05-16,1050000.0,735000.0,84,12.52,13180.04,Loan,2026-07-10 09:27:06,5,2025,2,1,Suresh Pillai,Kolkata,West Bengal,India,INR,1606274.0,17187.13,133856.17,1432.26,719,Salaried,$10–30K,Good (650–750),Hyundai,i20,Hatchback,Petrol,1050000.0,INR,11235.0,Economy ($5–15K),141.03,0.0985,1
54,160,162,4,2026-02-12,750000.0,,,,,Full Cash,2026-07-10 09:27:06,2,2026,1,0,Hans Mueller,Munich,Bavaria,Germany,EUR,85000.0,92650.0,7083.33,7720.83,660,Self-Employed,$60–120K,Good (650–750),Tata,Tiago,Hatchback,CNG,750000.0,INR,8025.0,Economy ($5–15K),,,0
55,165,139,21,2026-05-19,6136449.0,,,,,Full Cash,2026-07-10 09:27:06,5,2026,2,0,Nisha Joshi,Mumbai,Maharashtra,India,INR,2849828.0,30493.16,237485.67,2541.1,571,Business,$30–60K,Fair (550–650),Lexus,RX 500h,Luxury,Hybrid,9800000.0,JPY,65660.0,Premium ($60–150K),,,0
56,170,14,9,2026-01-16,1900000.0,1691000.0,72,7.86,29533.25,Loan,2026-07-10 09:27:06,1,2026,1,1,Meena Singh,Pune,Maharashtra,India,INR,3401731.0,36398.52,283477.58,3033.21,642,Business,$30–60K,Fair (550–650),Hyundai,Creta,SUV,Diesel,1900000.0,INR,20330.0,Mid ($15–30K),316.01,0.1042,1
57,175,83,6,2024-02-19,1450000.0,,,,,Full Cash,2026-07-10 09:27:06,2,2024,1,0,Priya Reddy,Chennai,Tamil Nadu,India,INR,687262.0,7353.7,57271.83,612.81,660,Self-Employed,<$10K,Good (650–750),Hyundai,Verna,Sedan,Diesel,1450000.0,INR,15515.0,Mid ($15–30K),,,0
58,177,85,24,2025-10-18,59084112.0,53175701.0,24,11.9,2500682.34,Loan,2026-07-10 09:27:06,10,2025,4,1,Kiran Singh,Chennai,Tamil Nadu,India,INR,3581140.0,38318.2,298428.33,3193.18,675,Self-Employed,$30–60K,Good (650–750),Ferrari,SF90,Hypercar,Hybrid,580000.0,EUR,632200.0,Ultra ($150K+),26757.3,8.3795,0
59,179,94,11,2025-06-17,1800000.0,1386000.0,36,10.74,45205.4,Loan,2026-07-10 09:27:06,6,2025,2,1,Rekha Kumar,Jaipur,Rajasthan,India,INR,3973233.0,42513.59,331102.75,3542.8,805,Self-Employed,$30–60K,Excellent (750–900),Kia,Seltos,SUV,Petrol,1800000.0,INR,19260.0,Mid ($15–30K),483.7,0.1365,1
60,182,85,9,2025-09-13,1900000.0,1653000.0,60,11.78,36586.57,Loan,2026-07-10 09:27:06,9,2025,3,1,Kiran Singh,Chennai,Tamil Nadu,India,INR,3581140.0,38318.2,298428.33,3193.18,675,Self-Employed,$30–60K,Good (650–750),Hyundai,Creta,SUV,Diesel,1900000.0,INR,20330.0,Mid ($15–30K),391.48,0.1226,1
61,186,170,4,2025-06-11,750000.0,667500.0,72,12.45,13206.48,Loan,2026-07-10 09:27:06,6,2025,2,1,Priya Nair,Singapore,Singapore,Singapore,SGD,144000.0,106560.0,12000.0,8880.0,803,Self-Employed,$60–120K,Excellent (750–900),Tata,Tiago,Hatchback,CNG,750000.0,INR,8025.0,Economy ($5–15K),141.31,0.0159,1
62,187,118,5,2025-01-31,1550000.0,,,,,Full Cash,2026-07-10 09:27:06,1,2025,1,0,Vikram Iyer,Delhi,Delhi,India,INR,1327765.0,14207.09,110647.08,1183.92,804,Salaried,$10–30K,Excellent (750–900),Honda,City,Sedan,Petrol,1550000.0,INR,16585.0,Mid ($15–30K),,,0
63,191,15,5,2026-03-16,1550000.0,,,,,Full Cash,2026-07-10 09:27:06,3,2026,1,0,Venkat Patel,Delhi,Delhi,India,INR,4331255.0,46344.43,360937.92,3862.04,657,Self-Employed,$30–60K,Good (650–750),Honda,City,Sedan,Petrol,1550000.0,INR,16585.0,Mid ($15–30K),,,0
64,196,139,26,2025-05-20,45457944.0,,,,,Full Cash,2026-07-10 09:27:06,5,2025,2,0,Nisha Joshi,Mumbai,Maharashtra,India,INR,2849828.0,30493.16,237485.67,2541.1,571,Business,$30–60K,Fair (550–650),McLaren,750S,Hypercar,Petrol,380000.0,GBP,486400.0,Ultra ($150K+),,,0
65,198,24,20,2025-10-21,9330841.0,6904822.0,24,11.96,324904.98,Loan,2026-07-10 09:27:06,10,2025,4,1,Ravi Iyer,Kolkata,West Bengal,India,INR,2179557.0,23321.26,181629.75,1943.44,719,Salaried,$10–30K,Good (650–750),Mercedes-Benz,E-Class,Luxury,Hybrid,78000.0,GBP,99840.0,Premium ($60–150K),3476.48,1.7888,0
66,202,112,14,2024-10-03,1150000.0,1023500.0,24,10.39,47413.78,Loan,2026-07-10 09:27:06,10,2024,4,1,Lakshmi Nair,Ahmedabad,Gujarat,India,INR,4910381.0,52541.08,409198.42,4378.42,614,Self-Employed,$30–60K,Fair (550–650),Maruti Suzuki,Ertiga,MUV,CNG,1150000.0,INR,12305.0,Economy ($5–15K),507.33,0.1159,1
67,203,124,11,2024-11-17,1800000.0,1458000.0,24,13.4,69590.23,Loan,2026-07-10 09:27:06,11,2024,4,1,Sanjay Singh,Mumbai,Maharashtra,India,INR,3018575.0,32298.75,251547.92,2691.56,867,Business,$30–60K,Excellent (750–900),Kia,Seltos,SUV,Petrol,1800000.0,INR,19260.0,Mid ($15–30K),744.62,0.2766,1
68,205,162,24,2025-10-05,59084112.0,50812336.0,24,11.94,2390489.59,Loan,2026-07-10 09:27:06,10,2025,4,1,Hans Mueller,Munich,Bavaria,Germany,EUR,85000.0,92650.0,7083.33,7720.83,660,Self-Employed,$60–120K,Good (650–750),Ferrari,SF90,Hypercar,Hybrid,580000.0,EUR,632200.0,Ultra ($150K+),25578.24,3.3129,0
69,208,155,8,2024-05-20,1650000.0,1419000.0,24,13.3,67661.97,Loan,2026-07-10 09:27:06,5,2024,2,1,Michael Brown,Miami,Florida,USA,USD,145000.0,145000.0,12083.33,12083.33,738,Business,$120–300K,Good (650–750),Tata,Nexon,SUV,Petrol,1650000.0,INR,17655.0,Mid ($15–30K),723.98,0.0599,1
70,210,163,2,2025-09-27,850000.0,,,,,Full Cash,2026-07-10 09:27:06,9,2025,3,0,Lena Schmidt,Berlin,Berlin,Germany,EUR,72000.0,78480.0,6000.0,6540.0,674,Business,$60–120K,Good (650–750),Maruti Suzuki,Swift,Hatchback,Petrol,850000.0,INR,9095.0,Economy ($5–15K),,,0
71,211,37,2,2025-02-19,850000.0,620500.0,24,10.05,28647.25,Loan,2026-07-10 09:27:06,2,2025,1,1,Deepa Joshi,Pune,Maharashtra,India,INR,2073134.0,22182.53,172761.17,1848.54,885,Self-Employed,$10–30K,Excellent (750–900),Maruti Suzuki,Swift,Hatchback,Petrol,850000.0,INR,9095.0,Economy ($5–15K),306.53,0.1658,1
72,212,31,14,2026-05-27,1150000.0,,,,,Lease,2026-07-10 09:27:06,5,2026,2,0,Ravi Nair,Kolkata,West Bengal,India,INR,3279140.0,35086.8,273261.67,2923.9,860,Self-Employed,$30–60K,Excellent (750–900),Maruti Suzuki,Ertiga,MUV,CNG,1150000.0,INR,12305.0,Economy ($5–15K),,,0
73,216,104,23,2024-05-22,57943925.0,,,,,Full Cash,2026-07-10 09:27:06,5,2024,2,0,Kiran Kumar,Mumbai,Maharashtra,India,INR,7570840.0,81007.99,630903.33,6750.67,698,Business,$60–120K,Good (650–750),Lamborghini,Revuelto,Hypercar,Hybrid,620000.0,USD,620000.0,Ultra ($150K+),,,0
74,225,128,11,2025-05-11,1800000.0,,,,,Lease,2026-07-10 09:27:06,5,2025,2,0,Venkat Mishra,Kolkata,West Bengal,India,INR,3082538.0,32983.16,256878.17,2748.6,857,Self-Employed,$30–60K,Excellent (750–900),Kia,Seltos,SUV,Petrol,1800000.0,INR,19260.0,Mid ($15–30K),,,0
